Method,Dataset,Budget,SlewRate,DwellTime,NumTiles,SumProb,TotalCost,TimeSec,Path,DatasetName
Gurobi,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200209_085452_7dt_separate.csv,10,50,1,11,0.22938,9.79767,2.17758,0 1 5 2 7 6 3 12 10 11 100,filtered_GW200209_085452_7dt_separate.csv
Gurobi,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200209_085452_7dt_separate.csv,20,50,1,20,0.397512,19.9565,1.92498,0 1 17 7 18 2 5 6 3 12 10 11 14 8 13 9 4 15 16 100,filtered_GW200209_085452_7dt_separate.csv
Gurobi,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200209_085452_7dt_separate.csv,30,50,1,29,0.515872,29.5072,1.47499,0 1 17 7 2 18 25 5 6 3 26 12 27 10 20 11 22 19 21 14 23 8 4 13 15 24 16 9 100,filtered_GW200209_085452_7dt_separate.csv
Gurobi,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200209_085452_7dt_separate.csv,40,50,1,38,0.607163,39.7687,12.5615,0 1 6 5 25 2 18 32 7 17 3 26 12 30 34 35 10 27 11 20 19 21 22 36 23 14 8 31 28 13 4 24 15 9 16 33 29 100,filtered_GW200209_085452_7dt_separate.csv
Gurobi,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200209_085452_7dt_separate.csv,50,50,1,47,0.677354,49.8535,100.888,0 1 25 2 32 18 7 17 30 26 3 5 6 12 34 45 35 39 27 10 11 20 22 21 19 42 14 43 31 28 8 36 23 13 4 9 15 24 16 37 44 33 29 46 38 47 100,filtered_GW200209_085452_7dt_separate.csv
Gurobi,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200209_085452_7dt_separate.csv,60,50,1,56,0.731162,59.8391,6.39071,0 1 3 26 30 17 7 56 32 18 25 2 5 49 6 34 12 48 45 39 35 27 10 54 20 11 57 22 19 50 21 42 36 23 14 43 28 8 4 31 37 16 44 9 13 15 24 60 29 33 38 46 53 52 47 100,filtered_GW200209_085452_7dt_separate.csv
Gurobi,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200209_085452_7dt_separate.csv,70,50,1,65,0.766972,69.9951,8.08287,0 1 3 26 30 17 7 56 32 71 18 2 25 63 5 49 6 34 12 48 45 39 73 35 27 10 54 20 11 57 74 22 19 21 50 36 14 42 43 28 8 23 62 13 65 15 9 4 31 37 44 33 38 47 52 68 67 64 53 46 29 60 24 16 100,filtered_GW200209_085452_7dt_separate.csv
Gurobi,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200209_085452_7dt_separate.csv,80,50,1,74,0.793089,79.9975,3.72776,0 1 3 30 17 83 56 7 32 71 77 18 2 25 63 5 49 6 34 12 26 89 48 81 39 45 73 35 54 10 27 57 74 22 11 20 19 78 42 21 50 36 14 43 28 8 23 62 13 4 31 37 9 15 65 79 24 60 29 16 44 33 38 76 47 52 68 67 64 53 84 46 75 100,filtered_GW200209_085452_7dt_separate.csv
Gurobi,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200209_085452_7dt_separate.csv,90,50,1,82,0.810494,89.9954,14.4374,0 5 49 63 25 77 18 71 32 2 7 56 83 17 30 92 89 48 26 12 3 1 6 34 73 45 35 94 54 99 20 11 10 81 39 27 96 57 74 22 19 78 42 21 50 36 23 62 13 14 43 8 28 31 37 44 16 29 33 86 76 38 53 64 47 97 68 98 91 67 52 84 75 46 60 24 79 65 15 9 4 100,filtered_GW200209_085452_7dt_separate.csv
Greedy,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200209_085452_7dt_separate.csv,10,50,1,10,0.212047,9.92927,8.402e-06,0 1 2 3 4 5 6 7 17 100,filtered_GW200209_085452_7dt_separate.csv
Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200209_085452_7dt_separate.csv,10,50,1,10,0.219244,9.7549,4.33224,0 1 3 8 4 6 5 7 2 100,filtered_GW200209_085452_7dt_separate.csv
AntColony,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200209_085452_7dt_separate.csv,10,50,1,11,0.22938,9.72924,1.06586,0 1 7 2 5 6 3 12 10 11 100,filtered_GW200209_085452_7dt_separate.csv
Hoogeveen,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200209_085452_7dt_separate.csv,10,50,1,10,0.219244,9.28144,0.00112486,0 1 7 2 3 6 5 4 8 100,filtered_GW200209_085452_7dt_separate.csv
HoogeveenParallel,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200209_085452_7dt_separate.csv,10,50,1,10,0.219244,9.28144,0.00303523,0 1 7 2 3 6 5 4 8 100,filtered_GW200209_085452_7dt_separate.csv
Hoogeveen+Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200209_085452_7dt_separate.csv,10,50,1,10,0.219244,9.7549,4.34137,0 1 3 8 4 6 5 7 2 100,filtered_GW200209_085452_7dt_separate.csv
Greedy,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200209_085452_7dt_separate.csv,20,50,1,17,0.350823,19.7531,6.512e-06,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 100,filtered_GW200209_085452_7dt_separate.csv
Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200209_085452_7dt_separate.csv,20,50,1,19,0.382743,19.5709,3.74806,0 6 10 14 8 4 15 16 9 13 11 12 3 7 17 1 5 2 100,filtered_GW200209_085452_7dt_separate.csv
AntColony,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200209_085452_7dt_separate.csv,20,50,1,20,0.395791,19.8471,1.24379,0 1 7 2 5 6 3 12 10 11 20 19 14 8 13 4 9 16 15 100,filtered_GW200209_085452_7dt_separate.csv
Hoogeveen,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200209_085452_7dt_separate.csv,20,50,1,20,0.397512,19.9592,0.00180848,0 1 18 2 7 17 5 6 3 12 10 11 14 8 13 4 15 9 16 100,filtered_GW200209_085452_7dt_separate.csv
HoogeveenParallel,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200209_085452_7dt_separate.csv,20,50,1,20,0.397512,19.9592,0.0043026,0 1 18 2 7 17 5 6 3 12 10 11 14 8 13 4 15 9 16 100,filtered_GW200209_085452_7dt_separate.csv
Hoogeveen+Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200209_085452_7dt_separate.csv,20,50,1,20,0.397512,19.9654,3.40143,0 1 6 3 17 7 18 2 5 12 10 11 14 8 13 4 15 9 16 100,filtered_GW200209_085452_7dt_separate.csv
Greedy,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200209_085452_7dt_separate.csv,30,50,1,25,0.460822,29.9964,7.268e-06,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 50 100,filtered_GW200209_085452_7dt_separate.csv
Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200209_085452_7dt_separate.csv,30,50,1,28,0.504317,29.3997,3.67736,0 6 3 12 22 20 4 13 15 24 16 9 8 14 23 21 19 11 10 5 1 2 25 18 7 17 26 100,filtered_GW200209_085452_7dt_separate.csv
AntColony,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200209_085452_7dt_separate.csv,30,50,1,29,0.511864,29.6054,1.31005,0 1 17 7 18 2 25 5 6 3 26 12 10 11 20 19 21 14 23 8 13 15 24 16 9 31 4 28 100,filtered_GW200209_085452_7dt_separate.csv
Hoogeveen,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200209_085452_7dt_separate.csv,30,50,1,29,0.515872,29.6554,0.0136809,0 1 18 2 25 5 7 17 3 6 12 26 27 10 20 11 22 19 21 14 23 8 13 4 9 16 24 15 100,filtered_GW200209_085452_7dt_separate.csv
HoogeveenParallel,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200209_085452_7dt_separate.csv,30,50,1,29,0.515872,29.6554,0.00483645,0 1 18 2 25 5 7 17 3 6 12 26 27 10 20 11 22 19 21 14 23 8 13 4 9 16 24 15 100,filtered_GW200209_085452_7dt_separate.csv
Hoogeveen+Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200209_085452_7dt_separate.csv,30,50,1,29,0.515872,29.5588,5.20366,0 1 5 25 18 2 7 17 3 6 12 26 27 10 20 11 22 19 21 14 23 8 13 15 24 16 9 4 100,filtered_GW200209_085452_7dt_separate.csv
Greedy,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200209_085452_7dt_separate.csv,40,50,1,32,0.548284,39.84,6.507e-06,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 31 100,filtered_GW200209_085452_7dt_separate.csv
Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200209_085452_7dt_separate.csv,40,50,1,37,0.597689,39.0309,4.1491,0 6 25 18 32 7 17 1 2 5 34 26 30 3 12 35 10 27 11 19 21 23 8 28 31 16 33 29 24 15 13 9 4 14 20 22 100,filtered_GW200209_085452_7dt_separate.csv
AntColony,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200209_085452_7dt_separate.csv,40,50,1,38,0.595574,39.4923,3.56547,0 1 7 2 18 25 5 6 35 54 10 20 19 21 42 28 31 9 16 24 15 4 13 8 23 14 36 50 22 11 27 39 12 26 3 30 17 100,filtered_GW200209_085452_7dt_separate.csv
Hoogeveen,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200209_085452_7dt_separate.csv,40,50,1,38,0.607163,39.8384,0.00706607,0 1 32 18 25 2 7 17 30 26 3 5 6 12 34 35 10 27 11 20 19 22 21 14 23 8 28 31 4 13 15 9 24 16 29 33 36 100,filtered_GW200209_085452_7dt_separate.csv
HoogeveenParallel,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200209_085452_7dt_separate.csv,40,50,1,38,0.607163,39.8384,0.00561276,0 1 32 18 25 2 7 17 30 26 3 5 6 12 34 35 10 27 11 20 19 22 21 14 23 8 28 31 4 13 15 9 24 16 29 33 36 100,filtered_GW200209_085452_7dt_separate.csv
Hoogeveen+Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200209_085452_7dt_separate.csv,40,50,1,38,0.607163,39.5922,5.44365,0 1 6 5 25 2 18 32 7 17 30 26 3 12 34 35 27 10 20 11 22 19 21 14 23 8 28 31 16 29 33 24 15 9 4 13 36 100,filtered_GW200209_085452_7dt_separate.csv
Greedy,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200209_085452_7dt_separate.csv,50,50,1,37,0.597689,49.2945,6.777e-06,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 100,filtered_GW200209_085452_7dt_separate.csv
Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200209_085452_7dt_separate.csv,50,50,1,46,0.670448,49.313,4.21509,0 17 32 18 25 1 6 10 20 35 34 45 12 26 30 7 2 5 3 39 27 11 22 19 21 14 36 42 43 31 28 8 23 4 13 15 24 16 37 9 44 29 46 38 33 100,filtered_GW200209_085452_7dt_separate.csv
AntColony,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200209_085452_7dt_separate.csv,50,50,1,47,0.669417,49.6247,2.41604,0 1 6 5 25 2 18 32 56 7 17 30 3 26 12 34 35 10 27 11 20 19 22 21 42 43 28 31 37 44 46 38 33 29 16 24 9 15 65 62 23 36 14 8 4 13 100,filtered_GW200209_085452_7dt_separate.csv
Hoogeveen,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200209_085452_7dt_separate.csv,50,50,1,47,0.677255,49.8589,0.00495881,0 1 32 18 25 2 7 17 30 3 5 6 34 12 26 39 42 43 8 28 4 31 37 44 33 38 46 29 16 24 9 15 13 23 14 36 21 22 19 20 11 27 10 35 45 48 100,filtered_GW200209_085452_7dt_separate.csv
HoogeveenParallel,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200209_085452_7dt_separate.csv,50,50,1,47,0.677255,49.8589,0.00628708,0 1 32 18 25 2 7 17 30 3 5 6 34 12 26 39 42 43 8 28 4 31 37 44 33 38 46 29 16 24 9 15 13 23 14 36 21 22 19 20 11 27 10 35 45 48 100,filtered_GW200209_085452_7dt_separate.csv
Hoogeveen+Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200209_085452_7dt_separate.csv,50,50,1,47,0.677255,49.771,4.0469,0 1 6 5 2 25 18 32 7 17 30 3 26 12 34 39 42 43 28 23 13 15 9 24 16 29 46 38 33 44 37 31 4 8 14 36 21 22 19 20 11 27 10 35 45 48 100,filtered_GW200209_085452_7dt_separate.csv
Greedy,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200209_085452_7dt_separate.csv,60,50,1,44,0.65628,58.8564,7.367e-06,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 42 43 44 100,filtered_GW200209_085452_7dt_separate.csv
Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200209_085452_7dt_separate.csv,60,50,1,54,0.720898,59.3078,6.33855,0 1 25 32 18 2 5 6 7 34 45 12 39 20 11 35 54 22 19 21 14 8 42 43 28 9 31 13 15 16 53 52 47 46 33 38 44 37 29 24 4 23 36 50 10 27 49 3 26 48 30 17 56 100,filtered_GW200209_085452_7dt_separate.csv
AntColony,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200209_085452_7dt_separate.csv,60,50,1,56,0.719331,59.723,2.81367,0 1 2 7 56 32 18 25 63 5 6 3 17 30 26 12 48 45 39 35 54 20 19 22 11 10 27 57 74 50 21 36 23 43 42 14 8 28 31 4 13 15 9 37 16 44 33 29 46 38 47 53 84 60 24 100,filtered_GW200209_085452_7dt_separate.csv
Hoogeveen,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200209_085452_7dt_separate.csv,60,50,1,56,0.731162,59.9093,0.00563782,0 1 32 18 7 56 30 3 17 2 25 5 49 6 34 12 26 48 45 39 35 54 10 27 57 11 20 22 50 19 42 21 36 23 14 43 28 8 13 4 31 37 44 33 38 47 52 53 46 29 16 9 15 24 60 100,filtered_GW200209_085452_7dt_separate.csv
HoogeveenParallel,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200209_085452_7dt_separate.csv,60,50,1,56,0.731162,59.9093,0.00737894,0 1 32 18 7 56 30 3 17 2 25 5 49 6 34 12 26 48 45 39 35 54 10 27 57 11 20 22 50 19 42 21 36 23 14 43 28 8 13 4 31 37 44 33 38 47 52 53 46 29 16 9 15 24 60 100,filtered_GW200209_085452_7dt_separate.csv
Hoogeveen+Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200209_085452_7dt_separate.csv,60,50,1,56,0.731162,59.8394,4.108,0 1 17 6 34 49 5 25 2 18 32 7 56 30 3 12 26 48 45 39 35 54 10 27 57 11 20 22 50 19 42 21 36 23 14 43 28 8 13 4 31 37 44 33 38 47 52 53 46 29 60 24 16 9 15 100,filtered_GW200209_085452_7dt_separate.csv
Greedy,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200209_085452_7dt_separate.csv,70,50,1,51,0.703249,69.5555,6.676e-06,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 42 43 44 45 46 47 48 49 50 54 100,filtered_GW200209_085452_7dt_separate.csv
Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200209_085452_7dt_separate.csv,70,50,1,63,0.760045,69.8954,3.93362,0 25 18 32 2 1 6 63 49 5 34 12 26 7 56 3 17 30 45 48 39 35 54 57 11 10 27 20 22 50 42 19 21 23 36 28 31 8 4 14 43 37 29 24 60 62 65 13 9 15 16 38 44 33 46 47 52 68 67 64 53 75 100,filtered_GW200209_085452_7dt_separate.csv
AntColony,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200209_085452_7dt_separate.csv,70,50,1,65,0.759814,69.6333,2.76171,0 1 5 25 77 71 32 56 83 30 26 12 34 6 3 17 7 18 2 63 49 73 35 10 11 20 54 99 19 42 43 8 37 44 33 38 47 53 46 75 60 29 16 24 15 9 31 28 4 13 65 62 23 14 36 21 50 22 74 57 27 39 45 48 100,filtered_GW200209_085452_7dt_separate.csv
Hoogeveen,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200209_085452_7dt_separate.csv,70,50,1,64,0.76371,69.3418,0.00754798,0 1 71 32 56 7 18 2 25 63 49 5 17 30 3 6 34 12 26 48 45 39 35 10 27 57 11 42 43 28 13 4 31 37 44 33 38 47 52 68 67 64 53 46 29 60 16 24 9 15 65 62 23 8 14 36 21 50 22 19 20 54 73 100,filtered_GW200209_085452_7dt_separate.csv
HoogeveenParallel,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200209_085452_7dt_separate.csv,70,50,1,64,0.76371,69.625,0.00849219,0 1 42 43 28 13 4 31 37 44 33 38 47 52 68 67 64 53 46 29 60 16 24 9 15 65 62 23 8 14 36 21 50 22 57 11 19 20 54 10 27 39 35 73 45 48 6 63 25 5 49 34 12 26 3 30 17 56 7 2 18 32 71 100,filtered_GW200209_085452_7dt_separate.csv
Hoogeveen+Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200209_085452_7dt_separate.csv,70,50,1,64,0.76371,69.314,4.06088,0 1 5 49 63 25 2 18 71 32 56 7 17 30 3 6 34 12 26 48 45 39 35 10 27 57 11 42 43 28 13 4 31 29 46 47 52 68 67 64 53 38 33 44 37 16 60 24 9 15 65 62 23 8 14 36 21 50 22 19 20 54 73 100,filtered_GW200209_085452_7dt_separate.csv
Greedy,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200209_085452_7dt_separate.csv,80,50,1,57,0.735887,79.0562,7.096e-06,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 42 43 44 45 46 47 48 49 50 52 53 54 56 57 60 62 100,filtered_GW200209_085452_7dt_separate.csv
Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200209_085452_7dt_separate.csv,80,50,1,71,0.78478,79.8345,5.45403,0 18 77 25 49 12 45 35 10 54 57 34 73 6 5 3 30 26 7 32 56 1 17 2 71 63 48 39 27 74 22 11 28 23 14 21 36 42 19 43 8 78 20 50 62 65 9 37 31 13 4 15 24 29 75 44 46 53 52 47 76 33 38 68 67 64 84 60 79 16 100,filtered_GW200209_085452_7dt_separate.csv
AntColony,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200209_085452_7dt_separate.csv,80,50,1,73,0.789078,79.3667,3.19096,0 1 5 77 18 71 32 56 7 2 25 63 49 34 45 39 35 54 99 78 42 43 28 31 37 44 16 29 84 53 64 67 68 52 47 38 76 86 33 46 75 60 24 79 65 15 9 4 13 62 23 8 14 36 50 21 19 20 22 74 57 11 10 27 81 48 12 26 6 3 30 17 100,filtered_GW200209_085452_7dt_separate.csv
