Method,Dataset,Budget,SlewRate,DwellTime,NumTiles,SumProb,TotalCost,TimeSec,Path
Greedy,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200316_215756_7dt_separate.csv,10,50,1,10,0.662436,8.98141,1.2413e-05,0 1 2 3 4 5 6 7 8 100
Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200316_215756_7dt_separate.csv,10,50,1,11,0.682021,9.69498,4.33641,0 1 3 9 4 2 6 8 5 7 100
AntColony,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200316_215756_7dt_separate.csv,10,50,1,11,0.682021,9.79005,0.41628,0 1 9 8 5 7 6 2 4 3 100
Hoogeveen,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200316_215756_7dt_separate.csv,10,50,1,11,0.682021,9.71052,0.00236891,0 1 4 3 9 2 6 8 5 7 100
HoogeveenParallel,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200316_215756_7dt_separate.csv,10,50,1,11,0.682021,9.71052,0.00353547,0 1 4 3 9 2 6 8 5 7 100
Hoogeveen+Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200316_215756_7dt_separate.csv,10,50,1,11,0.682021,9.69498,4.79663,0 1 3 9 4 2 6 8 5 7 100
Greedy,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200316_215756_7dt_separate.csv,20,50,1,19,0.768233,19.7966,5.457e-06,0 1 2 3 4 5 6 7 8 9 10 11 12 15 16 18 20 21 100
Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200316_215756_7dt_separate.csv,20,50,1,20,0.774107,19.43,3.98482,0 1 11 9 10 6 16 2 15 4 18 3 8 20 21 5 12 7 23 100
AntColony,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200316_215756_7dt_separate.csv,20,50,1,20,0.774107,19.3779,3.496,0 1 15 16 6 2 4 3 18 11 9 10 8 7 23 12 5 21 20 100
Hoogeveen,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200316_215756_7dt_separate.csv,20,50,1,20,0.774107,19.4557,0.00115751,0 1 3 18 11 9 10 6 2 4 15 16 8 12 7 5 20 21 23 100
HoogeveenParallel,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200316_215756_7dt_separate.csv,20,50,1,20,0.774107,19.9479,0.00397085,0 1 3 11 9 6 2 4 15 16 12 7 5 8 10 18 20 21 23 100
Hoogeveen+Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200316_215756_7dt_separate.csv,20,50,1,20,0.774107,19.5131,4.68744,0 1 16 4 15 2 6 10 9 11 18 3 20 21 5 8 23 7 12 100
