Method,Dataset,Budget,SlewRate,DwellTime,NumTiles,SumProb,TotalCost,TimeSec,Path,DatasetName
Gurobi,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200225_060421_7dt_separate.csv,10,50,1,11,0.295272,9.96768,0.7099,0 1 2 8 5 7 3 6 4 9 100,filtered_GW200225_060421_7dt_separate.csv
Gurobi,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200225_060421_7dt_separate.csv,20,50,1,20,0.495055,19.5434,1.66747,0 1 4 12 15 9 16 17 14 18 2 6 10 8 11 3 5 7 13 100,filtered_GW200225_060421_7dt_separate.csv
Gurobi,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200225_060421_7dt_separate.csv,30,50,1,30,0.634463,29.9745,576.275,0 1 2 10 8 23 5 7 27 24 19 13 33 32 3 11 6 21 26 18 4 12 9 15 16 30 14 17 20 100,filtered_GW200225_060421_7dt_separate.csv
Gurobi,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200225_060421_7dt_separate.csv,40,50,1,39,0.736851,39.9725,10.3136,0 1 2 10 8 23 5 7 27 24 25 31 22 29 19 13 33 32 3 11 6 21 26 18 4 12 9 15 16 30 14 17 20 28 39 35 34 38 100,filtered_GW200225_060421_7dt_separate.csv
Gurobi,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200225_060421_7dt_separate.csv,50,50,1,48,0.804231,49.9882,167.172,0 1 2 10 8 23 5 7 27 24 25 45 31 37 49 36 40 44 22 29 19 13 33 32 3 11 6 21 26 18 4 12 9 15 16 30 14 17 48 20 28 35 39 41 34 38 42 100,filtered_GW200225_060421_7dt_separate.csv
Gurobi,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200225_060421_7dt_separate.csv,60,50,1,56,0.851929,59.8629,600.589,0 1 52 2 10 8 23 5 7 19 13 29 22 44 40 37 49 36 47 53 50 46 31 45 25 24 27 33 32 3 11 6 21 26 18 4 12 9 15 16 30 14 17 54 20 48 28 39 35 41 34 38 43 42 51 100,filtered_GW200225_060421_7dt_separate.csv
Gurobi,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200225_060421_7dt_separate.csv,70,50,1,65,0.88894,69.841,96.5178,0 1 26 4 12 9 16 30 55 48 56 61 59 42 60 51 43 38 34 41 35 20 28 39 62 54 17 14 15 18 52 63 2 21 6 10 8 11 3 23 58 5 32 33 7 27 13 19 24 25 29 22 45 31 44 40 37 49 36 46 47 50 53 57 100,filtered_GW200225_060421_7dt_separate.csv
Gurobi,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200225_060421_7dt_separate.csv,80,50,1,73,0.912129,79.9899,600.711,0 52 70 4 12 16 17 14 28 39 41 35 56 34 38 61 43 51 60 67 42 59 30 55 48 20 62 54 15 9 18 26 21 1 2 63 10 6 11 8 23 5 3 32 33 7 58 64 27 13 19 24 25 29 22 45 31 44 40 37 49 36 71 69 46 47 65 50 53 57 66 68 100,filtered_GW200225_060421_7dt_separate.csv
Gurobi,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200225_060421_7dt_separate.csv,90,50,1,82,0.930864,89.8922,600.29,0 1 70 52 63 2 6 10 8 23 3 5 58 64 27 24 25 45 31 80 37 49 36 65 77 57 66 78 68 53 50 75 47 46 69 71 40 44 22 29 19 13 7 33 32 79 11 21 26 18 4 9 12 16 15 14 30 55 17 54 62 20 48 76 73 28 39 41 35 56 34 61 38 59 42 43 72 51 60 67 74 100,filtered_GW200225_060421_7dt_separate.csv
Greedy,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200225_060421_7dt_separate.csv,10,50,1,10,0.268081,9.64796,4.405e-06,0 1 2 3 4 5 6 7 8 100,filtered_GW200225_060421_7dt_separate.csv
