Method,Dataset,Budget,SlewRate,DwellTime,NumTiles,SumProb,TotalCost,TimeSec,Path,DatasetName
Gurobi,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200219_094415_7dt_separate.csv,10,50,1,11,0.508235,9.71898,0.279207,0 1 2 4 6 8 3 9 5 7 100,filtered_GW200219_094415_7dt_separate.csv
Gurobi,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200219_094415_7dt_separate.csv,20,50,1,20,0.666923,19.1298,0.653952,0 1 12 8 13 17 3 10 2 16 7 19 11 15 14 5 9 4 6 100,filtered_GW200219_094415_7dt_separate.csv
Gurobi,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200219_094415_7dt_separate.csv,30,50,1,30,0.717478,29.9674,0.611882,0 12 42 8 3 1 6 24 27 9 37 14 49 43 47 33 15 11 19 5 7 4 16 2 10 17 13 20 40 100,filtered_GW200219_094415_7dt_separate.csv
Gurobi,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200219_094415_7dt_separate.csv,40,50,1,39,0.734208,39.6284,2.8575,0 1 2 16 67 10 3 17 13 63 40 69 20 42 8 12 24 6 27 37 14 5 9 4 7 19 11 56 33 15 49 43 47 65 78 74 75 70 100,filtered_GW200219_094415_7dt_separate.csv
Gurobi,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200219_094415_7dt_separate.csv,50,50,1,48,0.746132,49.9747,33.9486,0 1 12 24 6 27 37 14 15 49 43 65 78 88 84 80 87 70 75 74 86 83 47 33 56 11 19 7 5 9 4 2 16 67 81 17 10 3 8 42 82 20 13 63 40 69 73 100,filtered_GW200219_094415_7dt_separate.csv
Gurobi,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200219_094415_7dt_separate.csv,60,50,1,57,0.756308,59.9822,17.1375,0 1 6 4 37 14 49 43 65 88 74 84 70 94 98 85 87 80 95 75 86 78 83 47 91 33 56 15 11 5 9 27 24 12 42 82 20 8 3 2 7 19 89 16 67 10 81 17 13 63 40 69 97 93 92 73 100,filtered_GW200219_094415_7dt_separate.csv
Gurobi,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200219_094415_7dt_separate.csv,70,50,1,57,0.756308,69.5963,0.42469,0 1 8 40 33 74 88 95 16 49 37 82 93 86 89 43 15 3 91 56 9 2 19 24 11 17 10 83 6 27 12 42 67 75 84 80 70 4 63 81 7 65 69 20 13 14 87 94 98 85 78 47 5 97 73 92 100,filtered_GW200219_094415_7dt_separate.csv
Gurobi,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200219_094415_7dt_separate.csv,80,50,1,57,0.756308,78.6066,0.400853,0 8 93 1 12 98 13 19 40 85 3 7 78 70 88 10 83 14 9 86 27 95 94 82 20 17 24 33 43 6 80 4 67 56 11 63 37 97 5 73 92 81 75 2 84 91 69 15 74 16 89 87 42 47 65 49 100,filtered_GW200219_094415_7dt_separate.csv
Gurobi,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200219_094415_7dt_separate.csv,90,50,1,57,0.756308,77.8509,0.321472,0 4 42 70 56 37 43 88 67 3 7 10 16 91 75 11 24 9 33 49 1 94 82 69 93 12 20 81 14 27 15 6 47 5 63 89 87 78 83 85 97 98 95 65 80 13 73 19 74 40 84 92 2 17 86 8 100,filtered_GW200219_094415_7dt_separate.csv
Greedy,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200219_094415_7dt_separate.csv,10,50,1,11,0.505729,9.98818,3.479e-06,0 1 2 3 4 5 6 7 8 10 100,filtered_GW200219_094415_7dt_separate.csv
