Method,Dataset,Budget,SlewRate,DwellTime,NumTiles,SumProb,TotalCost,TimeSec,Path,DatasetName
Gurobi,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191216_213338_7dt_separate.csv,10,50,1,11,0.37418,9.8418,0.385364,0 5 9 6 2 1 3 4 7 8 100,filtered_GW191216_213338_7dt_separate.csv
Gurobi,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191216_213338_7dt_separate.csv,20,50,1,20,0.582429,19.7889,1.10754,0 1 9 2 5 13 15 6 14 3 12 11 4 7 8 10 17 18 16 100,filtered_GW191216_213338_7dt_separate.csv
Gurobi,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191216_213338_7dt_separate.csv,30,50,1,29,0.713331,29.4708,5.63609,0 1 9 5 2 6 21 15 20 13 24 14 3 11 12 25 4 7 8 10 23 17 19 27 18 16 26 22 100,filtered_GW191216_213338_7dt_separate.csv
Gurobi,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191216_213338_7dt_separate.csv,40,50,1,39,0.799129,39.9942,29.1212,0 1 5 2 35 6 13 15 20 36 43 30 28 21 37 9 24 14 3 11 12 4 25 32 7 8 10 23 17 19 27 31 18 16 26 22 29 33 100,filtered_GW191216_213338_7dt_separate.csv
Gurobi,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191216_213338_7dt_separate.csv,50,50,1,48,0.84461,49.9764,6.73363,0 1 5 2 35 6 13 15 20 48 34 40 36 43 30 28 21 37 9 24 14 3 11 12 25 4 7 32 44 8 10 45 23 17 19 27 31 18 16 26 39 22 29 42 33 41 38 100,filtered_GW191216_213338_7dt_separate.csv
Gurobi,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191216_213338_7dt_separate.csv,60,50,1,57,0.873654,59.9859,4.9543,0 1 49 5 2 35 6 13 56 15 48 34 47 55 50 46 40 36 20 43 30 28 21 37 9 24 14 3 11 12 25 4 7 32 44 8 51 53 10 45 23 17 19 27 31 18 16 26 39 22 29 42 33 41 38 52 100,filtered_GW191216_213338_7dt_separate.csv
Gurobi,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191216_213338_7dt_separate.csv,70,50,1,66,0.893923,69.9032,9.92156,0 1 24 14 12 25 32 8 44 10 45 23 27 31 61 16 26 54 42 33 52 38 41 29 22 39 64 18 19 17 53 51 63 7 4 11 3 60 49 5 9 37 2 35 58 6 21 28 13 56 15 30 43 20 48 34 36 40 47 46 55 50 57 62 59 100,filtered_GW191216_213338_7dt_separate.csv
Gurobi,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191216_213338_7dt_separate.csv,80,50,1,74,0.906836,79.5037,601.088,0 1 24 14 12 25 32 4 7 8 44 45 23 27 31 61 26 39 22 42 54 29 33 41 65 38 68 66 52 64 16 18 19 17 10 53 51 63 67 11 3 60 49 5 9 37 2 21 28 6 13 35 58 56 70 15 30 43 20 48 34 36 47 40 73 77 46 55 50 57 62 59 82 100,filtered_GW191216_213338_7dt_separate.csv
Gurobi,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191216_213338_7dt_separate.csv,90,50,1,78,0.910575,89.9907,0.966407,0 1 2 20 48 59 57 43 36 82 84 89 62 95 77 50 55 34 40 47 46 73 30 97 3 49 5 14 9 37 4 25 7 24 17 31 18 22 33 29 41 39 61 26 16 64 38 8 44 19 53 67 63 12 51 66 68 52 65 42 54 27 23 32 10 45 11 60 35 6 58 70 15 56 13 28 21 100,filtered_GW191216_213338_7dt_separate.csv
Greedy,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191216_213338_7dt_separate.csv,10,50,1,10,0.341824,9.391,3.906e-06,0 1 2 3 4 5 6 7 8 100,filtered_GW191216_213338_7dt_separate.csv
Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191216_213338_7dt_separate.csv,10,50,1,11,0.37418,9.7699,4.29064,0 1 5 6 2 9 3 4 7 8 100,filtered_GW191216_213338_7dt_separate.csv
AntColony,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191216_213338_7dt_separate.csv,10,50,1,11,0.37418,9.7699,0.83199,0 1 5 6 2 9 3 4 7 8 100,filtered_GW191216_213338_7dt_separate.csv
Hoogeveen,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191216_213338_7dt_separate.csv,10,50,1,11,0.37418,9.94308,0.00226508,0 1 6 2 5 9 3 8 7 4 100,filtered_GW191216_213338_7dt_separate.csv
HoogeveenParallel,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191216_213338_7dt_separate.csv,10,50,1,11,0.37418,9.94308,0.00269081,0 1 6 2 5 9 3 8 7 4 100,filtered_GW191216_213338_7dt_separate.csv
Hoogeveen+Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191216_213338_7dt_separate.csv,10,50,1,11,0.37418,9.7699,3.84671,0 1 5 6 2 9 3 4 7 8 100,filtered_GW191216_213338_7dt_separate.csv
Greedy,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191216_213338_7dt_separate.csv,20,50,1,18,0.544992,19.8436,4.563e-06,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 20 100,filtered_GW191216_213338_7dt_separate.csv
Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191216_213338_7dt_separate.csv,20,50,1,20,0.582429,19.867,3.75564,0 1 5 6 15 13 2 9 3 14 12 11 4 7 17 10 8 18 16 100,filtered_GW191216_213338_7dt_separate.csv
