# A small set of 43 nodes
set NODES := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43;

param start := 1;

# Prize for visiting each node
param Prize :=
1 0.323062
2 0.255349
3 0.109933
4 0.106727
5 0.056036
6 0.044437
7 0.043545
8 0.012417
9 0.012189
10 0.011988
11 0.008495
12 0.003156
13 0.002545
14 0.002123
15 0.000874
16 0.000870
17 0.000570
18 0.000569
19 0.000569
20 0.000528
21 0.000494
22 0.000436
23 0.000409
24 0.000397
25 0.000380
26 0.000355
27 0.000274
28 0.000226
29 0.000219
30 0.000191
31 0.000120
32 0.000098
33 0.000058
34 0.000057
35 0.000048
36 0.000032
37 0.000027
38 0.000025
39 0.000023
40 0.000020
41 0.000014
42 0.000013
43 0.000013
;

# Travel costs between nodes (matrix form)
param Cost : 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 :=
1  100000.000000 1.632456 1.632456 1.632456 1.632456 1.632456 1.632456 2.264911 2.264911 2.264911 2.264911 2.264911 2.264911 2.264911 2.264911 2.264911 2.264911 2.264911 2.264911 2.264911 2.897367 2.897367 2.897367 2.897367 2.897367 2.897367 2.897367 2.897367 2.897367 2.897367 2.897367 2.897367 2.897367 2.897367 2.897367 2.897367 2.897367 2.897367 2.897367 3.529822 3.529822 3.529822 3.529822
2  1.632456 100000.000000 1.606475 2.064575 2.261807 2.149544 1.755480 1.865171 1.650871 1.696790 1.958666 2.272056 2.552857 2.761751 2.877412 2.889485 2.796931 2.607910 2.340934 2.029948 2.377973 2.278506 2.277639 2.375646 2.544685 2.748955 2.958671 3.152323 3.314872 3.435951 3.508758 3.529500 3.497128 3.413283 3.282391 3.111973 2.913308 2.702677 2.503297 3.036303 2.945459 2.900775 2.908316
3  1.632456 1.606475 100000.000000 1.606475 2.064575 2.261807 2.149544 2.470676 2.174080 1.864293 1.650552 1.697356 1.959605 2.272987 2.553617 2.762252 2.877609 2.889360 2.796495 2.607203 2.959578 2.749891 2.545537 2.376265 2.277867 2.278272 2.377350 2.547029 2.751527 2.961161 3.154514 3.316613 3.437138 3.509329 3.529425 3.496411 3.411961 3.280536 3.109698 3.621094 3.463788 3.305823 3.158065
4  1.632456 2.064575 1.606475 100000.000000 1.606475 2.064575 2.261807 2.851522 2.704582 2.469850 2.173122 1.863416 1.650235 1.697924 1.960543 2.273918 2.554376 2.762753 2.877805 2.889234 3.435192 3.313762 3.150927 2.957086 2.747320 2.543197 2.374568 2.277244 2.278920 2.379064 2.549378 2.754099 2.963648 3.156700 3.318347 3.438318 3.509891 3.529341 3.495686 4.087463 4.004969 3.895885 3.764479
5  1.632456 2.261807 2.064575 1.606475 100000.000000 1.606475 2.064575 2.837788 2.897148 2.851224 2.703991 2.469024 2.172164 1.862540 1.649921 1.698493 1.961483 2.274849 2.555134 2.763253 3.498285 3.529606 3.507809 3.433993 3.312012 3.148728 2.954592 2.744750 2.540862 2.372881 2.276635 2.279583 2.380789 2.551731 2.756672 2.966133 3.158881 3.320074 3.439490 4.110359 4.151918 4.161645 4.139211
6  1.632456 2.149544 2.261807 2.064575 1.606475 100000.000000 1.606475 2.434463 2.678928 2.838126 2.897168 2.850925 2.703399 2.468196 2.171206 1.861664 1.649609 1.699065 1.962422 2.275779 3.117952 3.287254 3.416735 3.498982 3.529661 3.507218 3.432787 3.310256 3.146525 2.952096 2.742180 2.538532 2.371206 2.276042 2.280261 2.382524 2.554090 2.759245 2.968616 3.676620 3.818862 3.942023 4.041014
7  1.632456 1.755480 2.149544 2.261807 2.064575 1.606475 100000.000000 1.828023 2.133543 2.435313 2.679552 2.838463 2.897187 2.850625 2.702807 2.467369 2.170248 1.860789 1.649301 1.699639 2.511477 2.711961 2.922495 3.120212 3.289088 3.418032 3.499671 3.529707 3.506619 3.431574 3.308493 3.144318 2.949597 2.739612 2.536207 2.369541 2.275463 2.280954 2.384270 3.078963 3.214594 3.367809 3.526709
8  2.264911 1.865171 2.470676 2.851522 2.837788 2.434463 1.828023 100000.000000 1.625939 2.213219 2.725370 3.130287 3.402302 3.523995 3.487521 3.295234 2.959501 2.501727 1.950782 1.341041 1.683621 1.995640 2.407382 2.824059 3.209644 3.544532 3.815382 4.012517 4.129236 4.161655 4.108706 3.972137 3.756507 3.469212 3.120710 2.725485 2.305615 1.905152 1.646715 2.272721 2.394572 2.627804 2.921187
9  2.264911 1.650871 2.174080 2.704582 2.897148 2.678928 2.133543 1.625939 100000.000000 1.625939 2.213219 2.725370 3.130287 3.402302 3.523995 3.487521 3.295234 2.959501 2.501727 1.950782 1.813525 1.632464 1.817476 2.198875 2.619561 3.023637 3.385637 3.689673 3.924400 4.081681 4.156239 4.145606 4.050133 3.872987 3.620145 3.300492 2.926305 2.515115 2.096793 2.468692 2.300557 2.273337 2.396851
10  2.264911 1.696790 1.864293 2.469850 2.851224 2.838126 2.435313 2.213219 1.625939 100000.000000 1.625939 2.213219 2.725370 3.130287 3.402302 3.523995 3.487521 3.295234 2.959501 2.501727 2.402195 1.990896 1.681246 1.685121 1.998590 2.410601 2.827144 3.212406 3.546851 3.817172 4.013717 4.129804 4.161574 4.107978 3.970786 3.754578 3.466773 3.117855 2.722345 3.030146 2.725485 2.465981 2.299301
