,Method,Budget,TimeSec
0,Genetic,10,6.93816
1,Genetic,20,5.84751
2,Genetic,30,6.325
3,Genetic,40,6.73883
4,Genetic,50,7.64573
5,Genetic,60,7.34288
6,Genetic,70,7.92029
7,Genetic,80,6.57648
8,Genetic,90,6.93391
9,Genetic,100,7.47464
10,Greedy,10,8.3007e-05
11,Greedy,20,8.0122e-05
12,Greedy,30,7.8339e-05
13,Greedy,40,6.1323e-05
14,Greedy,50,7.6002e-05
15,Greedy,60,8.0042e-05
16,Greedy,70,7.937e-05
17,Greedy,80,7.5108e-05
18,Greedy,90,0.00010839
19,Greedy,100,7.8359e-05
20,Hoogeveen,10,0.168449
21,Hoogeveen,20,0.151025
22,Hoogeveen,30,0.143979
23,Hoogeveen,40,0.160073
24,Hoogeveen,50,0.158881
25,Hoogeveen,60,0.187721
26,Hoogeveen,70,0.162098
27,Hoogeveen,80,0.165865
28,Hoogeveen,90,0.166676
29,Hoogeveen,100,0.197128
