,Method,Budget,TimeSec
0,Genetic,10,5.20203
1,Genetic,20,5.33195
2,Genetic,30,9.61685
3,Genetic,40,8.05927
4,Genetic,50,7.48006
5,Genetic,60,6.24952
6,Genetic,70,5.44322
7,Genetic,80,6.55355
8,Genetic,90,7.06091
9,Genetic,100,5.1482
10,Greedy,10,7.2621e-05
11,Greedy,20,7.8863e-05
12,Greedy,30,7.9646e-05
13,Greedy,40,5.9627e-05
14,Greedy,50,7.246e-05
15,Greedy,60,6.9944e-05
16,Greedy,70,8.0974e-05
17,Greedy,80,7.361e-05
18,Greedy,90,7.5083e-05
19,Greedy,100,8.9158e-05
20,Hoogeveen,10,0.115456
21,Hoogeveen,20,0.118574
22,Hoogeveen,30,0.113153
23,Hoogeveen,40,0.132356
24,Hoogeveen,50,0.130296
25,Hoogeveen,60,0.128945
26,Hoogeveen,70,0.132587
27,Hoogeveen,80,0.133291
28,Hoogeveen,90,0.169226
29,Hoogeveen,100,0.168308
