,Method,Budget,TimeSec
0,Genetic,10,5.2769
1,Genetic,100,5.30045
2,Genetic,200,7.23715
3,Genetic,300,8.2993
4,Genetic,400,8.52601
5,Genetic,500,10.6513
6,Genetic,600,13.411
7,Genetic,700,12.9064
8,Genetic,800,17.4269
9,Genetic,900,18.5936
10,Genetic,1000,22.5016
11,Genetic,1100,26.299
12,Genetic,1200,30.3905
13,Genetic,1300,38.149
14,Genetic,1400,42.3726
15,Genetic,1500,52.1706
16,Genetic,1600,74.4169
17,Greedy,10,3.5151e-05
18,Greedy,100,5.7319e-05
19,Greedy,200,5.5951e-05
20,Greedy,300,5.6203e-05
21,Greedy,400,5.6772e-05
22,Greedy,500,5.5834e-05
23,Greedy,600,5.0184e-05
24,Greedy,700,4.8296e-05
25,Greedy,800,4.5662e-05
26,Greedy,900,4.6106e-05
27,Greedy,1000,6.3955e-05
28,Greedy,1100,6.6294e-05
29,Greedy,1200,6.3769e-05
30,Greedy,1300,5.7332e-05
31,Greedy,1400,5.114e-05
32,Greedy,1500,5.1638e-05
33,Greedy,1600,6.6365e-05
34,Hoogeveen,10,0.0484341
35,Hoogeveen,100,0.109488
36,Hoogeveen,200,0.229214
37,Hoogeveen,300,0.569715
38,Hoogeveen,400,0.96007
39,Hoogeveen,500,1.59951
40,Hoogeveen,600,2.21389
41,Hoogeveen,700,2.44873
42,Hoogeveen,800,3.78523
43,Hoogeveen,900,5.5269
44,Hoogeveen,1000,5.92679
45,Hoogeveen,1100,5.64387
46,Hoogeveen,1200,8.29607
47,Hoogeveen,1300,11.2088
48,Hoogeveen,1400,11.2653
49,Hoogeveen,1500,11.5654
50,Hoogeveen,1600,18.0383
