,Method,Budget,TimeSec
0,Genetic,10,6.47885
1,Genetic,100,5.40006
2,Genetic,200,7.87851
3,Genetic,300,8.10741
4,Genetic,400,10.4506
5,Genetic,500,10.8367
6,Genetic,600,13.876
7,Genetic,700,15.7788
8,Genetic,800,18.0576
9,Genetic,900,48.1594
10,Genetic,1000,72.9014
11,Genetic,1100,65.6274
12,Genetic,1200,62.8156
13,Genetic,1300,42.8438
14,Genetic,1400,60.798
15,Genetic,1500,72.7278
16,Genetic,1600,77.7792
17,Greedy,10,7.6052e-05
18,Greedy,100,7.9092e-05
19,Greedy,200,6.4789e-05
20,Greedy,300,6.4985e-05
21,Greedy,400,8.4148e-05
22,Greedy,500,8.7625e-05
23,Greedy,600,7.1791e-05
24,Greedy,700,8.9338e-05
25,Greedy,800,8.8493e-05
26,Greedy,900,9.0714e-05
27,Greedy,1000,8.1175e-05
28,Greedy,1100,0.000100503
29,Greedy,1200,0.000104053
30,Greedy,1300,0.00010144
31,Greedy,1400,0.000100133
32,Greedy,1500,9.551e-05
33,Greedy,1600,9.8806e-05
34,Hoogeveen,10,0.109724
35,Hoogeveen,100,0.168932
36,Hoogeveen,200,0.283037
37,Hoogeveen,300,0.552207
38,Hoogeveen,400,0.790758
39,Hoogeveen,500,1.63859
40,Hoogeveen,600,2.13319
41,Hoogeveen,700,2.41619
42,Hoogeveen,800,2.6225
43,Hoogeveen,900,4.02745
44,Hoogeveen,1000,5.13234
45,Hoogeveen,1100,8.90867
46,Hoogeveen,1200,8.08923
47,Hoogeveen,1300,8.34589
48,Hoogeveen,1400,8.48811
49,Hoogeveen,1500,11.2241
50,Hoogeveen,1600,13.3903
