,Method,Budget,TimeSec
0,Genetic,10,5.61794
1,Genetic,100,7.8575
2,Genetic,200,5.87502
3,Genetic,300,7.64782
4,Genetic,400,8.5364
5,Genetic,500,9.85325
6,Genetic,600,12.6364
7,Genetic,700,13.7475
8,Genetic,800,15.5658
9,Genetic,900,18.929
10,Genetic,1000,21.6583
11,Genetic,1100,24.9867
12,Genetic,1200,41.5782
13,Genetic,1300,57.2993
14,Genetic,1400,80.2834
15,Genetic,1500,84.592
16,Genetic,1600,64.3658
17,Greedy,10,4.6745e-05
18,Greedy,100,4.4882e-05
19,Greedy,200,5.2547e-05
20,Greedy,300,4.7415e-05
21,Greedy,400,4.9759e-05
22,Greedy,500,3.5869e-05
23,Greedy,600,5.2965e-05
24,Greedy,700,5.3118e-05
25,Greedy,800,5.7002e-05
26,Greedy,900,5.5214e-05
27,Greedy,1000,5.4025e-05
28,Greedy,1100,5.6976e-05
29,Greedy,1200,4.6065e-05
30,Greedy,1300,6.0881e-05
31,Greedy,1400,6.7305e-05
32,Greedy,1500,6.0181e-05
33,Greedy,1600,6.3833e-05
34,Hoogeveen,10,0.0394626
35,Hoogeveen,100,0.109434
36,Hoogeveen,200,0.300693
37,Hoogeveen,300,0.464148
38,Hoogeveen,400,0.83663
39,Hoogeveen,500,1.61479
40,Hoogeveen,600,1.94513
41,Hoogeveen,700,2.25072
42,Hoogeveen,800,3.27578
43,Hoogeveen,900,4.18317
44,Hoogeveen,1000,4.73609
45,Hoogeveen,1100,4.96169
46,Hoogeveen,1200,6.64786
47,Hoogeveen,1300,10.0876
48,Hoogeveen,1400,9.97792
49,Hoogeveen,1500,8.92451
50,Hoogeveen,1600,8.72073
