,Method,Budget,TimeSec
0,Genetic,10,8.76544
1,Genetic,100,5.91322
2,Genetic,200,7.93639
3,Genetic,300,9.61299
4,Genetic,400,12.1273
5,Genetic,500,11.2607
6,Genetic,600,14.893
7,Genetic,700,16.8658
8,Genetic,800,18.0853
9,Genetic,900,21.7227
10,Genetic,1000,23.8329
11,Genetic,1100,25.3428
12,Genetic,1200,28.698
13,Genetic,1300,31.7765
14,Genetic,1400,43.2595
15,Genetic,1500,87.7003
16,Genetic,1600,86.3582
17,Greedy,10,8.5262e-05
18,Greedy,100,8.3006e-05
19,Greedy,200,8.8428e-05
20,Greedy,300,8.7026e-05
21,Greedy,400,7.3391e-05
22,Greedy,500,8.9889e-05
23,Greedy,600,0.00010412
24,Greedy,700,9.304e-05
25,Greedy,800,9.3127e-05
26,Greedy,900,8.0322e-05
27,Greedy,1000,7.721e-05
28,Greedy,1100,0.000101476
29,Greedy,1200,9.951e-05
30,Greedy,1300,8.1227e-05
31,Greedy,1400,9.2282e-05
32,Greedy,1500,9.5098e-05
33,Greedy,1600,0.000100502
34,Hoogeveen,10,0.152885
35,Hoogeveen,100,0.200573
36,Hoogeveen,200,0.257271
37,Hoogeveen,300,0.521809
38,Hoogeveen,400,0.643275
39,Hoogeveen,500,0.871216
40,Hoogeveen,600,1.45078
41,Hoogeveen,700,1.83
42,Hoogeveen,800,2.20068
43,Hoogeveen,900,2.72636
44,Hoogeveen,1000,3.4123
45,Hoogeveen,1100,3.68182
46,Hoogeveen,1200,4.68253
47,Hoogeveen,1300,5.78598
48,Hoogeveen,1400,7.33406
49,Hoogeveen,1500,8.94612
50,Hoogeveen,1600,10.1292
