Rank,index,RA,Dec,Probability,CumulativeProb
1,3605,85.569024,49.140217,0.1890165737050348,0.1890165737050348
2,3527,86.306702,45.977939,0.1836947252545235,0.3727112989595583
3,3606,90.402758,49.140217,0.1167009038711165,0.48941220283067477
4,3528,90.857166,45.977939,0.0584486989003521,0.5478609017310269
5,3523,68.104848,45.977939,0.0371359430451191,0.584996844776146
6,3526,81.756239,45.977939,0.0294483991368145,0.6144452439129605
7,3441,70.126977,42.815662,0.0272687918441512,0.6417140357571117
8,3524,72.655312,45.977939,0.0207223579844492,0.6624363937415609
9,3678,85.641135,52.302495,0.019584392106098,0.6820207858476589
10,3604,80.73529,49.140217,0.0166136807976181,0.698634466645277
11,3679,90.812543,52.302495,0.0151823280222968,0.7138167946675738
12,3440,65.81602,42.815662,0.0133535195650863,0.7271703142326601
13,1243,195.031838,-23.592169,0.0122566269821028,0.7394269412147629
14,1140,195.472435,-26.754447,0.0115867921703277,0.7510137333850906
15,3445,87.370808,42.815662,0.010825448616446,0.7618391820015366
16,3444,83.05985,42.815662,0.0102082687537423,0.7720474507552788
17,1141,199.013841,-26.754447,0.0081892649388599,0.7802367156941387
18,3607,95.236492,49.140217,0.0072004602284302,0.7874371759225689
19,1244,198.482533,-23.592169,0.0068518094306962,0.7942889853532651
20,3602,71.067822,49.140217,0.0067346383663713,0.8010236237196364
21,3601,66.234088,49.140217,0.0060941248029565,0.8071177485225929
22,1348,193.13469,-20.429891,0.0059057507549523,0.8130234992775451
23,3442,74.437935,42.815662,0.0058741084691682,0.8188976077467134
24,1242,191.581142,-23.592169,0.005842728851745,0.8247403365984584
25,3522,63.554385,45.977939,0.0055323812702349,0.8302727178686933
26,1040,197.124701,-29.916724,0.0054764541534083,0.8357491720221015
27,3525,77.205775,45.977939,0.0046427618210816,0.8403919338431831
28,1349,196.509226,-20.429891,0.004233809544457,0.8446257433876401
29,1041,200.773127,-29.916724,0.0039549171704176,0.8485806605580577
30,943,199.17541,-33.079002,0.0035323237992157,0.8521129843572735
31,1455,191.042664,-17.267614,0.0034222993366897,0.8555352836939631
32,1139,191.931028,-26.754447,0.0031677565007161,0.8587030401946792
33,3677,80.469727,52.302495,0.0031422059118522,0.8618452461065315
34,850,201.398913,-36.24128,0.003112259408708,0.8649575055152394
35,1347,189.760154,-20.429891,0.0029500417823299,0.8679075472975694
36,1456,194.354197,-17.267614,0.0028053926476674,0.8707129399452368
